t,S,I,R
0.0,990,10,0
0.11085100734229908,989,11,0
0.24958500520953122,988,12,0
0.3143924670464918,987,13,0
0.4187381648895242,987,12,1
0.45704075115651627,987,11,2
0.528894877724139,986,12,2
0.6195024951443067,985,13,2
0.6577036077891308,984,14,2
0.807485436446791,983,15,2
0.9136460307932821,983,14,3
0.9762486432618349,982,15,3
1.0781558006594802,982,14,4
1.091608486953405,982,13,5
1.1487009117740068,982,12,6
1.1725880991668023,981,13,6
1.278896218234549,980,14,6
1.3082779501442605,980,13,7
1.3768616954255937,979,14,7
1.445735869394094,978,15,7
1.4504577960407334,977,16,7
1.5180244863403018,977,15,8
1.6396101129550131,976,16,8
1.7162183305560266,976,15,9
2.0502408951352447,976,14,10
2.0728962323526154,975,15,10
2.2060739076332867,974,16,10
2.3043700659136714,974,15,11
2.3725122538413808,973,16,11
2.5665500293605206,973,15,12
2.6808660171940066,972,16,12
2.686160289236048,972,15,13
2.7638079218317424,972,14,14
2.7931473919524223,972,13,15
3.076983434688252,972,12,16
3.1324948956782976,971,13,16
3.259239571741394,971,12,17
3.393924943358091,970,13,17
3.4038515741544755,969,14,17
3.5541692033823185,968,15,17
3.623423760862507,967,16,17
3.9308157264758634,966,17,17
4.072936125472036,965,18,17
4.138505527306288,965,17,18
4.171308419467408,964,18,18
4.231614308109227,963,19,18
4.398191928800322,962,20,18
4.41548226079287,961,21,18
4.489471942278547,961,20,19
4.569689529066031,960,21,19
4.614669211980709,959,22,19
4.674806277624559,959,21,20
4.737738026184395,958,22,20
4.821108121918664,958,21,21
4.979110178457613,958,20,22
5.0285960743470515,957,21,22
5.075802989996035,956,22,22
5.135825461930751,955,23,22
5.175637358380106,954,24,22
5.21038228446746,953,25,22
5.216528736570063,952,26,22
5.239302572999981,952,25,23
5.283050096559216,951,26,23
5.435454477835032,950,27,23
5.693647933711741,949,28,23
5.702441301536325,949,27,24
5.715309616417034,948,28,24
5.75088675969125,947,29,24
5.779363091071953,947,28,25
5.789971001050763,947,27,26
5.8084512885212956,946,28,26
5.866725345242914,946,27,27
5.873415939610318,945,28,27
6.009484457894513,944,29,27
6.15310900266014,943,30,27
6.1834265154387404,943,29,28
6.192723594252418,942,30,28
6.201032530717518,941,31,28
6.306839698081541,941,30,29
6.321331706951601,940,31,29
6.395490685119099,939,32,29
6.409495671471399,939,31,30
6.419877613690228,938,32,30
6.427686488365175,938,31,31
6.442026338681025,938,30,32
6.469926859948978,937,31,32
6.562740448615911,936,32,32
6.606547954247526,935,33,32
6.634828784690145,934,34,32
6.824959964178919,933,35,32
6.887875266011354,933,34,33
7.021078498265869,932,35,33
7.034988188622427,931,36,33
7.108934350721013,930,37,33
7.128835225602961,930,36,34
7.259275584787038,929,37,34
7.290677490296564,928,38,34
7.332373325950274,927,39,34
7.4286039706301485,926,40,34
7.465166645629693,925,41,34
7.477318868936326,925,40,35
7.620462489867031,924,41,35
7.631589801648902,924,40,36
7.705552353517895,923,41,36
7.705671361083495,922,42,36
7.757353115239382,921,43,36
7.855907338003729,921,42,37
7.8682069610307535,920,43,37
7.8966434360781435,919,44,37
7.903376457086424,918,45,37
7.905253896028211,918,44,38
7.934255683494672,917,45,38
8.010634006676826,916,46,38
8.024140473508144,915,47,38
8.034345350597127,914,48,38
8.052208016762417,913,49,38
8.150849064614103,913,48,39
8.152981935933408,913,47,40
8.15983279728454,913,46,41
8.167196721073955,913,45,42
8.21288140655889,912,46,42
8.298460210498996,912,45,43
8.337527507614242,912,44,44
8.35512747667074,911,45,44
8.358347567393318,910,46,44
8.358588239376049,909,47,44
8.36371711147259,908,48,44
8.393791929305902,907,49,44
8.448606690027422,906,50,44
8.450334843108052,905,51,44
8.492912562558104,904,52,44
8.520081414056508,904,51,45
8.5974870934807,903,52,45
8.627083387030561,902,53,45
8.62952942725785,901,54,45
8.630182389753957,901,53,46
8.664481018915046,900,54,46
8.66592809697202,899,55,46
8.692820330067368,898,56,46
8.697099913027241,897,57,46
8.727113787391664,896,58,46
8.772876399830379,895,59,46
8.778508496167646,895,58,47
8.832768880125744,895,57,48
8.838306279285007,894,58,48
8.928038479541328,893,59,48
8.976710652639385,892,60,48
9.056692702431278,892,59,49
9.108771577940646,892,58,50
9.1089740983154,891,59,50
9.1671319880162,891,58,51
9.17215527831136,890,59,51
9.178119795251153,889,60,51
9.189190190712209,888,61,51
9.208527927479581,887,62,51
9.229035360024115,886,63,51
9.278026164253962,885,64,51
9.29880969297772,884,65,51
9.304589510835026,884,64,52
9.443168728112935,884,63,53
9.444975938558532,883,64,53
9.446326017144074,882,65,53
9.48013218223091,881,66,53
9.52854864608593,881,65,54
9.562910386210064,880,66,54
9.606961705088487,880,65,55
9.640615723518662,879,66,55
9.64159686882425,879,65,56
9.662583889429019,878,66,56
9.723304849137294,877,67,56
9.741057128265197,876,68,56
9.766840038027965,876,67,57
9.814801539531118,875,68,57
9.83097415037435,874,69,57
9.854216199629096,874,68,58
9.889685799941205,873,69,58
9.912968285050454,873,68,59
9.913518973910186,872,69,59
9.932673016158727,872,68,60
9.966287610871095,871,69,60
9.970525455690892,871,68,61
9.973242723169962,870,69,61
9.986877136793813,869,70,61
10.034882325243533,869,69,62
10.043535657691265,869,68,63
10.05348846871274,868,69,63
10.056722936839803,867,70,63
10.083000160074981,866,71,63
10.106152296468654,866,70,64
10.117367680234572,865,71,64
10.119141207371072,864,72,64
10.12037662464318,864,71,65
10.138249900057641,864,70,66
10.162475770091687,863,71,66
10.168253884892072,862,72,66
10.179372068029112,861,73,66
10.180383654756005,860,74,66
10.192330592906313,860,73,67
10.224349960111079,859,74,67
10.2340657581553,858,75,67
10.23626629210732,857,76,67
10.239563845132146,857,75,68
10.310645145338222,857,74,69
10.311290861327898,856,75,69
10.324712433099506,855,76,69
10.327817307060291,855,75,70
10.351555024206721,854,76,70
10.360492221106847,853,77,70
10.361890869085148,852,78,70
10.36348695649604,852,77,71
10.394544337637186,851,78,71
10.431564438320565,850,79,71
10.445255920690808,850,78,72
10.453538426396765,849,79,72
10.454024725638972,848,80,72
10.473364087122587,847,81,72
10.490912161737743,846,82,72
10.505582878763576,846,81,73
10.610652155063764,845,82,73
10.613886138455328,844,83,73
10.616684297312755,843,84,73
10.634904747040961,842,85,73
10.644485504668495,841,86,73
10.696766173325537,840,87,73
10.697403197353717,839,88,73
10.707015099468496,838,89,73
10.722398306823258,837,90,73
10.728082756232368,836,91,73
10.733806794858484,835,92,73
10.759527149569976,834,93,73
10.770659303204075,833,94,73
10.78497669074792,832,95,73
10.786408273323271,831,96,73
10.798575651810811,831,95,74
10.820611595429636,830,96,74
10.8376127686631,830,95,75
10.842460988951748,830,94,76
10.875582897146648,829,95,76
10.898296628192542,828,96,76
10.983532249404721,827,97,76
10.991387088641208,826,98,76
11.007374487224403,825,99,76
11.027727350292889,824,100,76
11.037527199717093,823,101,76
11.059489142976114,823,100,77
11.061239266510917,823,99,78
11.075160690593977,823,98,79
11.091119120380256,822,99,79
11.113945034519116,822,98,80
11.127752443159828,822,97,81
11.127849646268496,822,96,82
11.139067112425305,822,95,83
11.17470937588825,821,96,83
11.21802613508524,820,97,83
11.22089280640195,819,98,83
11.244505577325919,819,97,84
11.257791285987974,818,98,84
11.261172469642645,817,99,84
11.261457993998649,817,98,85
11.27711844548172,816,99,85
11.277531407707976,815,100,85
11.311179692664684,815,99,86
11.360787514773977,814,100,86
11.362805402202593,814,99,87
11.375588543233947,813,100,87
11.38080489470998,813,99,88
11.422612989203422,813,98,89
11.478495350228425,812,99,89
11.480786406380888,812,98,90
11.480804621162788,812,97,91
11.490240213685023,811,98,91
11.497880883140407,810,99,91
11.511551997370548,810,98,92
11.549407854238245,809,99,92
11.5706282857185,809,98,93
11.588641139359812,809,97,94
11.598372324415772,809,96,95
11.616482060060186,808,97,95
11.645179115808938,807,98,95
